0	>> (0)	17	core.rb:24
1	>> (0)	46	scheduler.rb:29
2	>> (2)	18	pathname.rb:48
3	>> (2)	10	pathname.rb:48
4	>> (2)	14	pathname.rb:48
5	>> (2)	9	pathname.rb:48
6	>> (2)	10	pathname.rb:48
7	>> (2)	10	pathname.rb:48
8	>> (1)	168	pathname.rb:395
9	>> (0)	208	pathname.rb:353
10	>> (2)	10	pathname.rb:48
11	>> (2)	10	pathname.rb:48
12	>> (2)	9	pathname.rb:48
13	>> (2)	7	pathname.rb:48
14	>> (2)	14	pathname.rb:48
15	>> (2)	10	pathname.rb:48
16	>> (1)	155	pathname.rb:395
17	>> (0)	188	pathname.rb:353
18	>> (1)	610	char_mapped_display.rb:333
19	>> (0)	634	char_mapped_display.rb:97
20	>> (0)	53	char_mapped_display.rb:102
21	>> (1)	5	window_guard.rb:18
22	>> (0)	26	core.rb:726
23	>> (1)	22	input_handler.rb:38
24	>> (1)	6	input_handler.rb:38
25	>> (0)	67	input_handler.rb:41
26	>> (1)	4	window_guard.rb:18
27	>> (0)	19	core.rb:750
28	>> (1)	8	sequence_memory.rb:60
29	>> (0)	25	sequence_memory.rb:21
30	>> (1)	4	window_guard.rb:18
31	>> (0)	21	core.rb:774
32	>> (0)	4	looper_pedal.rb:141
33	>> (1)	3	window_guard.rb:18
34	>> (0)	19	core.rb:778
35	>> (0)	5	core.rb:24
36	>> (0)	36	scheduler.rb:29
37	>> (0)	15	rubyOF.rb:126
38	>> (0)	19	char_mapped_display.rb:315
39	>> (1)	3	window_guard.rb:18
40	>> (0)	18	core.rb:815
41	>> (0)	5	core.rb:24
42	>> (0)	26	scheduler.rb:29
43	>> (0)	15	char_mapped_display.rb:315
44	>> (1)	3	window_guard.rb:18
45	>> (0)	17	core.rb:935
46	>> (0)	15	rubyOF.rb:97
47	>> (0)	15	char_mapped_display.rb:315
48	>> (0)	4	core.rb:24
49	>> (0)	20	scheduler.rb:165
50	>> (1)	7	node_collection.rb:174
51	>> (0)	44	node_collection.rb:150
52	>> (0)	10	machine.rb:716
53	>> (0)	19	state.rb:160
54	>> (1)	564	char_mapped_display.rb:132
55	>> (0)	601	core.rb:1601
56	>> (1)	13	node_collection.rb:174
57	>> (0)	50	node_collection.rb:150
58	>> (0)	9	machine.rb:716
59	>> (0)	12	state.rb:160
60	>> (0)	37	live_code.rb:175
61	>> (0)	26	scheduler.rb:29
62	>> (0)	19	char_mapped_display.rb:315
63	>> (0)	15	char_mapped_display.rb:315
64	>> (0)	14	char_mapped_display.rb:315
65	>> (0)	15	char_mapped_display.rb:315
66	>> (0)	15	char_mapped_display.rb:315
67	>> (0)	8	core.rb:24
68	>> (0)	34	scheduler.rb:29
69	>> (2)	22	pathname.rb:48
70	>> (2)	10	pathname.rb:48
71	>> (2)	10	pathname.rb:48
72	>> (2)	8	pathname.rb:48
73	>> (2)	11	pathname.rb:48
74	>> (2)	14	pathname.rb:48
75	>> (1)	172	pathname.rb:395
76	>> (0)	205	pathname.rb:353
77	>> (2)	11	pathname.rb:48
78	>> (2)	10	pathname.rb:48
79	>> (2)	12	pathname.rb:48
80	>> (2)	8	pathname.rb:48
81	>> (2)	10	pathname.rb:48
82	>> (2)	10	pathname.rb:48
83	>> (1)	161	pathname.rb:395
84	>> (0)	193	pathname.rb:353
85	>> (1)	10	input_handler.rb:38
86	>> (1)	6	input_handler.rb:38
87	>> (0)	56	input_handler.rb:41
88	>> (1)	4	window_guard.rb:18
89	>> (0)	28	core.rb:750
90	>> (1)	8	sequence_memory.rb:60
91	>> (0)	24	sequence_memory.rb:21
92	>> (1)	3	window_guard.rb:18
93	>> (0)	18	core.rb:774
94	>> (0)	4	looper_pedal.rb:141
95	>> (1)	5	window_guard.rb:18
96	>> (0)	33	core.rb:778
97	>> (0)	8	core.rb:24
98	>> (0)	44	scheduler.rb:29
99	>> (0)	21	rubyOF.rb:126
100	>> (0)	23	char_mapped_display.rb:315
101	>> (1)	4	window_guard.rb:18
102	>> (0)	24	core.rb:815
103	>> (0)	4	core.rb:24
104	>> (0)	29	scheduler.rb:29
105	>> (0)	18	char_mapped_display.rb:315
106	>> (1)	4	window_guard.rb:18
107	>> (0)	25	core.rb:935
108	>> (0)	15	rubyOF.rb:97
109	>> (0)	16	char_mapped_display.rb:315
110	>> (0)	4	core.rb:24
111	>> (0)	22	scheduler.rb:165
112	>> (1)	15	node_collection.rb:174
113	>> (0)	44	node_collection.rb:150
114	>> (0)	4	machine.rb:716
115	>> (0)	7	state.rb:160
116	>> (1)	380	char_mapped_display.rb:132
117	>> (0)	412	core.rb:1601
118	>> (1)	6	node_collection.rb:174
119	>> (0)	32	node_collection.rb:150
120	>> (0)	4	machine.rb:716
121	>> (0)	7	state.rb:160
122	>> (0)	29	live_code.rb:175
123	>> (0)	22	scheduler.rb:29
124	>> (0)	22	char_mapped_display.rb:315
125	>> (0)	19	char_mapped_display.rb:315
126	>> (0)	19	char_mapped_display.rb:315
127	>> (0)	19	char_mapped_display.rb:315
128	>> (0)	19	char_mapped_display.rb:315
129	>> (0)	8	core.rb:24
130	>> (0)	47	scheduler.rb:29
131	>> (2)	18	pathname.rb:48
132	>> (2)	12	pathname.rb:48
133	>> (2)	13	pathname.rb:48
134	>> (2)	11	pathname.rb:48
135	>> (2)	15	pathname.rb:48
136	>> (2)	10	pathname.rb:48
137	>> (1)	215	pathname.rb:395
138	>> (0)	255	pathname.rb:353
139	>> (2)	14	pathname.rb:48
140	>> (2)	10	pathname.rb:48
141	>> (2)	11	pathname.rb:48
142	>> (2)	7	pathname.rb:48
143	>> (2)	18	pathname.rb:48
144	>> (2)	14	pathname.rb:48
145	>> (1)	210	pathname.rb:395
146	>> (0)	249	pathname.rb:353
147	>> (1)	34	input_handler.rb:38
148	>> (1)	16	input_handler.rb:38
149	>> (0)	122	input_handler.rb:41
150	>> (1)	9	window_guard.rb:18
151	>> (0)	54	core.rb:750
152	>> (1)	10	sequence_memory.rb:60
153	>> (0)	36	sequence_memory.rb:21
154	>> (1)	8	window_guard.rb:18
155	>> (0)	44	core.rb:774
156	>> (0)	9	looper_pedal.rb:141
157	>> (1)	9	window_guard.rb:18
158	>> (0)	61	core.rb:778
159	>> (0)	11	core.rb:24
160	>> (0)	64	scheduler.rb:29
161	>> (0)	38	rubyOF.rb:126
162	>> (0)	34	char_mapped_display.rb:315
163	>> (1)	9	window_guard.rb:18
164	>> (0)	41	core.rb:815
165	>> (0)	10	core.rb:24
166	>> (0)	61	scheduler.rb:29
167	>> (0)	39	char_mapped_display.rb:315
